Article Title,Link
Eskimeaux: 10 Artists You Need to Know: August 2015,http://www.rollingstone.com/music/pictures/10-new-artists-you-need-to-know-august-2015-20150817/eskimeaux-20150813
Next Thing,http://www.rollingstone.com/music/albumreviews/frankie-cosmos-next-thing-20160404
Bruno Mars: The Golden Child,http://www.rollingstone.com/music/news/the-golden-child-20130509
