,Rolling Stone,Pitchfork,AV Club,Related/Similar Artists,Latest News
Radiohead,4 out of 5,7.9 out of 10,B+,Muse,http://www.theguardian.com/business/2016/apr/05/radiohead-label-change-xl-recordings-streaming
RHCP,3.5 out of 5,4 out of 10,c-,Foo Fighters,http://www.alternativenation.net/red-hot-chili-peppers-reportedly-set-to-make-major-announcement/
Modern Baseball,n/a,7.2 out of 10,n/a,The Front Bottoms,http://www.chartattack.com/staff-picks/2016/04/06/modern-baseballs-new-documentary-will-have-you-calling-your-loved-ones/
Rush,3.5 out of 5,n/a,a-,Styx,http://www.ew.com/article/2016/03/09/rush-confirm-retirement-touring
Smashing Pumpkins,3 out of 5,6 out of 10,b-,Jane's Addiction,http://radio.com/2016/04/06/smashing-pumpkins-dodge-nostalgia-with-reimagined-setlist/
,,,,,
